,z,dA (Mpc),Theta (deg),Phi (deg),Area (sr),radius (rad)
0,17.285460942153822,588.2397506369866,163.19352897254907,1116.9691143885525,9.079065200852572e-10,1.699987120756683e-05
1,14.508732896163961,672.5842772261993,427.4788781100747,570.4258266168438,6.944747357774579e-10,1.4868025225390249e-05
2,15.933882696175981,626.4309833490652,320.8577016099329,613.7128039812713,8.005775604666779e-10,1.5963450509004782e-05
3,8.810960546229467,955.2587564465871,233.39489657363242,27.848623099841124,3.442768478355556e-10,1.0468367793034877e-05
4,12.420019502425049,754.261531383887,385.9531020513063,147.45728645237367,5.522121470836539e-10,1.3258000817902545e-05
5,8.167860610715064,1002.8127301142949,272.19445258741814,999.4748705870794,3.1239940340719943e-10,9.971951591460408e-06
6,19.688129663194832,530.8853796039484,344.0309529574676,364.4022761227537,1.1146752090833768e-09,1.8836457706671464e-05
7,7.405647552056768,1065.5169888518487,157.04687515299116,871.2625737486882,2.7671271499193444e-10,9.385115492879689e-06
8,15.036475036503038,654.708403730353,346.9049488088897,684.570753472169,7.329157283032527e-10,1.5273975319428743e-05
9,8.319243111462654,991.205489192398,206.94799517995477,324.6827031737255,3.197587781824925e-10,1.0088725404605735e-05
10,9.155368281468672,931.5755705878246,265.21570279031636,41.13748850731536,3.6200426756483057e-10,1.0734502187181655e-05
11,15.267503373339599,647.1832583543707,181.10178502258984,476.9147558346821,7.500588233583477e-10,1.5451573987602157e-05
12,19.28005381343068,539.8098441894292,485.4364516322722,488.70731788197435,1.0781229033478407e-09,1.8525041934008925e-05
13,14.095783098157359,687.2791393168096,255.62763339085657,667.3442561480194,6.650947939238375e-10,1.4550128802018504e-05
14,5.189164594453956,1298.0363041331314,441.1655425328824,374.16615238189536,1.8645592749993253e-10,7.703944772699026e-06
15,5.5180181337265815,1257.9983618786691,370.05501741548056,848.3667990164048,1.9851335145615505e-10,7.949135947256881e-06
16,14.386285019379802,676.8746141388663,234.23176843916,390.45791482874654,6.856988481117054e-10,1.4773784968612252e-05
17,4.92218418837743,1332.134155761348,438.1063722812817,482.5825193364686,1.7703288436092213e-10,7.5067514459793655e-06
18,11.522595014122459,795.8728962210478,426.12194942365943,432.3601814670411,4.959780341921415e-10,1.2564820397178816e-05
19,9.732907982453556,894.3724413291903,7.8408994723216825,374.1438842844723,3.9274716189998556e-10,1.1181024300277289e-05
